Feature,DemographicParityRatio,ConditionalDemographicDisparity,EqualOpportunityDifference,AverageOddsDifference,PredictiveParity,fs,iteration,participant_id
YEARS_REGISTRATION,0.7058353405362663,0.030311372212850886,0.19197593916695044,0.24949375138993707,0.028646423334656834,0.5,1554,
YEARS_ID_PUBLISH,0.7104255679008563,-0.01886494400437165,0.18617352992450453,0.188984824322298,0.03709754494495365,0.5,1554,
FLAG_MOBIL,0.0,-8.822422210457888e-05,0.6892758528547253,,,0.5,1554,
FLAG_EMP_PHONE,0.7328468578332412,0.08278381335785054,0.16544052526347064,0.24098617334454572,0.008061361912063747,0.5,1554,
FLAG_WORK_PHONE,0.8580423931417729,-0.03725031982632822,0.07067802739147333,0.07918990559958694,0.027523904791967868,0.5,1554,
FLAG_CONT_MOBILE,0.7847769154076963,0.00127502814089388,0.12050404420903682,0.21277874942551173,0.01967507363770249,0.5,1554,
FLAG_PHONE,0.8464860102039387,0.04108910444714328,0.09650661463909682,0.10088137611343298,0.011902382004250867,0.5,1554,
FLAG_EMAIL,0.903756696030899,0.013888954107129793,0.05843957708191194,0.06780299869048093,0.004230104241854549,0.5,1554,
CNT_FAM_MEMBERS,0.8237239397560503,-0.02318871374461662,0.1009403232745375,0.08955160739180124,0.059700523039730724,0.5,1554,
REGION_RATING_CLIENT,0.532646932417487,0.003603504331840088,0.3530824587932574,0.38827543173855517,0.08679750010082887,0.5,1554,
REGION_RATING_CLIENT_W_CITY,0.5116148432653287,0.002635568686932807,0.3682851899000563,0.4026871486649225,0.09070594067274429,0.5,1554,
HOUR_APPR_PROCESS_START,0.7860361204939526,0.003454372808935875,0.13899961186608079,0.1408537237543495,0.01769831885250117,0.5,1554,
REG_REGION_NOT_LIVE_REGION,0.9565162340400596,-0.001814365640109917,0.003913950044005188,0.029404760577826372,0.00490811987817974,0.5,1554,
REG_REGION_NOT_WORK_REGION,0.9676493357399273,-0.00387881814995622,0.021743711286821177,0.011660024843674954,0.01484164060187032,0.5,1554,
LIVE_REGION_NOT_WORK_REGION,0.998912989850023,0.00010746153283734935,0.008746695365594581,0.016657073043554155,0.006570485330963716,0.5,1554,
REG_CITY_NOT_LIVE_CITY,0.6018792453672767,-0.07048939323269714,0.23963639386385716,0.22142721338646126,0.056387705980374014,0.5,1554,
REG_CITY_NOT_WORK_CITY,0.6927181303527141,-0.08317634947107605,0.18832326487659246,0.18403229331766288,0.03603250758647225,0.5,1554,
LIVE_CITY_NOT_WORK_CITY,0.7768591987049126,-0.058638530157367204,0.13322879416036393,0.12802958026462208,0.02559458959695149,0.5,1554,
OBS_30_CNT_SOCIAL_CIRCLE,0.8985701489043735,-0.01920258967881536,0.05904570628292405,0.06287907259858358,0.0071541226939795255,0.5,1554,
DEF_30_CNT_SOCIAL_CIRCLE,0.6771146814354857,-0.01725428334041497,0.17256947867948713,0.1785330184531653,0.02876385497065337,0.5,1554,
OBS_60_CNT_SOCIAL_CIRCLE,0.9000476479482507,-0.019738884709468687,0.05888450748521146,0.060832631733121756,0.004629348895809349,0.5,1554,
DEF_60_CNT_SOCIAL_CIRCLE,0.707736503269545,-0.05162935298056001,0.1808575154914701,0.16501826802662362,0.02594685611563685,0.5,1554,
YEARS_LAST_PHONE_CHANGE,0.6514934798160394,0.0747214160790852,0.2358851130017926,0.2863712393736705,0.04334102413344165,0.5,1554,
AMT_REQ_CREDIT_BUREAU_HOUR,0.511877120914449,-0.0768613673905884,0.3805159538357094,0.27359131025118805,0.3346728582484968,0.5,1554,
AMT_REQ_CREDIT_BUREAU_DAY,0.4604236078058067,-0.07802304391457975,0.3808869435396309,0.3022855770329733,0.16823338092971607,0.5,1554,
AMT_REQ_CREDIT_BUREAU_WEEK,0.6712024639276106,-0.0737837563717725,0.21457023060796643,0.16696137230270822,0.15313852813852813,0.5,1554,
AMT_REQ_CREDIT_BUREAU_MON,0.8473945992967462,-0.03439352198939422,0.12010024703734201,0.11517867483311542,0.024068500624813027,0.5,1554,
