Feature,DemographicParityRatio,ConditionalDemographicDisparity,EqualOpportunityDifference,AverageOddsDifference,PredictiveParity,fs,iteration,participant_id
YEARS_ID_PUBLISH,0.691208363,-0.020072709,0.201845495,0.202873114,0.035439252,0.5,1459,
FLAG_MOBIL,0,-8.72E-05,0.686870936,,,0.5,1459,
FLAG_EMP_PHONE,0.730917675,0.082552007,0.165493334,0.240262648,0.006554441,0.5,1459,
FLAG_WORK_PHONE,0.843406764,-0.040724312,0.078464568,0.088170569,0.023831094,0.5,1459,
FLAG_CONT_MOBILE,0.817998464,0.001022077,0.075205079,0.195703995,0.032485937,0.5,1459,
FLAG_PHONE,0.856936578,0.037511161,0.086044819,0.093083131,0.010512707,0.5,1459,
FLAG_EMAIL,0.901311407,0.014106169,0.068024874,0.060166179,0.004481566,0.5,1459,
CNT_FAM_MEMBERS,0.853348888,-0.024647947,0.061316744,0.081128682,0.043804538,0.5,1459,
REGION_RATING_CLIENT,0.513248682,-0.004045912,0.367922974,0.397316028,0.083617989,0.5,1459,
REGION_RATING_CLIENT_W_CITY,0.485812533,-0.006456931,0.391488393,0.414206217,0.089434054,0.5,1459,
HOUR_APPR_PROCESS_START,0.796238931,0.003159658,0.132330749,0.125047163,0.020917249,0.5,1459,
REG_REGION_NOT_LIVE_REGION,0.983615508,-0.000675118,0.001470401,0.000828594,0.024874225,0.5,1459,
REG_REGION_NOT_WORK_REGION,0.981634242,-0.002173921,0.022783366,0.028969343,0.02792919,0.5,1459,
LIVE_REGION_NOT_WORK_REGION,0.993807747,0.000607774,0.012750416,0.031074643,0.015708629,0.5,1459,
REG_CITY_NOT_LIVE_CITY,0.594975193,-0.07089228,0.245573824,0.221189903,0.058748864,0.5,1459,
REG_CITY_NOT_WORK_CITY,0.683907271,-0.084727152,0.193491389,0.187445978,0.034057493,0.5,1459,
LIVE_CITY_NOT_WORK_CITY,0.768022959,-0.060331124,0.137704761,0.132377929,0.023135867,0.5,1459,
OBS_30_CNT_SOCIAL_CIRCLE,0.948668967,-0.01040428,0.034075213,0.023429995,0.012189311,0.5,1459,
DEF_30_CNT_SOCIAL_CIRCLE,0.702391738,-0.015335769,0.184901715,0.146474153,0.077165992,0.5,1459,
OBS_60_CNT_SOCIAL_CIRCLE,0.951674459,-0.010806059,0.032007461,0.022026848,0.013200413,0.5,1459,
DEF_60_CNT_SOCIAL_CIRCLE,0.734551608,-0.045859521,0.165411956,0.14307321,0.033935791,0.5,1459,
YEARS_LAST_PHONE_CHANGE,0.657868627,0.071985093,0.231434083,0.269155897,0.047844345,0.5,1459,
AMT_REQ_CREDIT_BUREAU_HOUR,0.46969697,-0.075553959,0.077134986,0.33268514,0.181818182,0.5,1459,
AMT_REQ_CREDIT_BUREAU_DAY,0.618090332,-0.078159259,0.109329298,0.278348859,0.223684211,0.5,1459,
AMT_REQ_CREDIT_BUREAU_WEEK,0.961182994,-0.071386277,0.103625378,0.12044014,0.052125693,0.5,1459,
AMT_REQ_CREDIT_BUREAU_MON,0.865516467,-0.034095817,0.077828936,0.12391841,0.045527185,0.5,1459,
AMT_REQ_CREDIT_BUREAU_QRT,0.873944708,-0.02999666,0.074692114,0.084536645,0.032394934,0.5,1459,
AMT_REQ_CREDIT_BUREAU_YEAR,0.859882008,-0.060794263,0.079991099,0.081617605,0.022650323,0.5,1459,
