participant_id,iteration,fs,accuracy,CMA_accuracy
,0,0.5,66.59333333333333,
5e909231933994023e8b3c4d,0,0.5,66.07333333333332,66.07333333333332
5e909231933994023e8b3c4d,1,0.5,66.31666666666666,66.195
5e909231933994023e8b3c4d,2,0.5,66.29,66.22666666666667
5e909231933994023e8b3c4d,3,0.5,66.46,66.285
5e909231933994023e8b3c4d,4,0.5,66.10666666666667,66.24933333333334
5e909231933994023e8b3c4d,5,0.5,66.31666666666666,66.26055555555556
5e909231933994023e8b3c4d,6,0.5,65.95333333333333,66.21666666666667
5e909231933994023e8b3c4d,7,0.5,66.21333333333334,66.21625
5e909231933994023e8b3c4d,8,0.5,66.15666666666667,66.20962962962963
5e909231933994023e8b3c4d,9,0.5,66.09,66.19766666666666
5e909231933994023e8b3c4d,10,0.5,65.99000000000001,66.17878787878789
5e909231933994023e8b3c4d,11,0.5,65.74,66.14222222222223
5e909231933994023e8b3c4d,12,0.5,66.04333333333334,66.13461538461539
5e909231933994023e8b3c4d,13,0.5,65.75666666666666,66.10761904761905
5e909231933994023e8b3c4d,14,0.5,65.91,66.09444444444445
5e909231933994023e8b3c4d,15,0.5,65.9,66.08229166666666
5e909231933994023e8b3c4d,16,0.5,65.79333333333334,66.06529411764706
5e909231933994023e8b3c4d,17,0.5,66.06,66.065
5e909231933994023e8b3c4d,18,0.5,66.25333333333333,66.07491228070175
5e909231933994023e8b3c4d,19,0.5,65.98333333333333,66.07033333333334
5e909231933994023e8b3c4d,20,0.5,65.89,66.06174603174603
5e909231933994023e8b3c4d,21,0.5,65.74,66.04712121212121
5e909231933994023e8b3c4d,22,0.5,66.09,66.04898550724637
5e909231933994023e8b3c4d,23,0.5,66.14666666666666,66.05305555555556
5e909231933994023e8b3c4d,24,0.5,65.96666666666667,66.0496
5e909231933994023e8b3c4d,25,0.5,65.69,66.03576923076923
5e909231933994023e8b3c4d,26,0.5,65.71000000000001,66.0237037037037
5e909231933994023e8b3c4d,27,0.5,65.93,66.02035714285714
5e909231933994023e8b3c4d,28,0.5,65.51333333333334,66.00287356321839
5fe100d9ece28c2fa6e9a5a1,0,0.5,66.21666666666667,66.21666666666667
5fe100d9ece28c2fa6e9a5a1,1,0.5,66.19666666666667,66.20666666666668
5fe100d9ece28c2fa6e9a5a1,2,0.5,66.24666666666667,66.22000000000001
60f5bcf96cd0848f008e3902,0,0.5,66.07333333333332,66.07333333333332
60f5bcf96cd0848f008e3902,1,0.5,66.20333333333333,66.13833333333332
60f5bcf96cd0848f008e3902,2,0.5,65.94666666666666,66.07444444444444
6120211d8e1eab16fcb7ad69,0,0.5,66.07333333333332,66.07333333333332
6120211d8e1eab16fcb7ad69,1,0.5,66.31666666666666,66.195
6120211d8e1eab16fcb7ad69,2,0.5,66.36999999999999,66.25333333333333
6120211d8e1eab16fcb7ad69,3,0.5,66.07666666666667,66.20916666666666
6120211d8e1eab16fcb7ad69,4,0.5,66.21333333333334,66.21
6120211d8e1eab16fcb7ad69,5,0.5,66.20666666666666,66.20944444444444
60e0e480c45d13e3fc1aae6b,0,0.5,66.07333333333332,66.07333333333332
60e0e480c45d13e3fc1aae6b,1,0.5,65.88000000000001,65.97666666666666
60e0e480c45d13e3fc1aae6b,2,0.5,66.07666666666667,66.01
60e0e480c45d13e3fc1aae6b,3,0.5,66.37333333333333,66.10083333333333
60e0e480c45d13e3fc1aae6b,4,0.5,66.24,66.12866666666666
60e0e480c45d13e3fc1aae6b,5,0.5,66.07666666666667,66.12
60e0e480c45d13e3fc1aae6b,6,0.5,66.39333333333333,66.15904761904763
60e0e480c45d13e3fc1aae6b,7,0.5,65.97,66.13541666666667
60e0e480c45d13e3fc1aae6b,8,0.5,65.68666666666667,66.08555555555556
60e0e480c45d13e3fc1aae6b,9,0.5,65.98333333333333,66.07533333333333
60e0e480c45d13e3fc1aae6b,10,0.5,66.03333333333333,66.07151515151514
6151f4af8af3c53428216391,0,0.5,66.25333333333333,66.25333333333333
6151f4af8af3c53428216391,1,0.5,66.48333333333333,66.36833333333334
6101c49c2727ad36a6c593af,0,0.5,66.21666666666667,66.21666666666667
6101c49c2727ad36a6c593af,1,0.5,66.36333333333333,66.28999999999999
60dc5726c777d9a0e550d1ca,0,0.5,65.97666666666666,65.97666666666666
60dc5726c777d9a0e550d1ca,1,0.5,66.08000000000001,66.02833333333334
60dc5726c777d9a0e550d1ca,2,0.5,66.43,66.16222222222223
60dc5726c777d9a0e550d1ca,3,0.5,66.27,66.18916666666667
60dc5726c777d9a0e550d1ca,4,0.5,66.31,66.21333333333334
60dc5726c777d9a0e550d1ca,5,0.5,66.35,66.23611111111111
60dc5726c777d9a0e550d1ca,6,0.5,66.20333333333333,66.23142857142857
60dc5726c777d9a0e550d1ca,7,0.5,66.01,66.20375
60dc5726c777d9a0e550d1ca,8,0.5,66.41666666666667,66.2274074074074
60dc5726c777d9a0e550d1ca,9,0.5,66.30666666666667,66.23533333333333
60dc5726c777d9a0e550d1ca,10,0.5,66.20333333333333,66.23242424242424
60dc5726c777d9a0e550d1ca,11,0.5,66.13666666666667,66.22444444444444
60dc5726c777d9a0e550d1ca,12,0.5,66.06333333333333,66.21205128205128
60dc5726c777d9a0e550d1ca,13,0.5,66.03666666666666,66.19952380952381
60e46e73e4c4216e7dcbe325,0,0.5,66.07333333333332,66.07333333333332
60e46e73e4c4216e7dcbe325,1,0.5,66.20333333333333,66.13833333333332
60e46e73e4c4216e7dcbe325,2,0.5,65.94666666666666,66.07444444444444
60e46e73e4c4216e7dcbe325,3,0.5,66.45333333333333,66.16916666666665
60e46e73e4c4216e7dcbe325,4,0.5,66.28333333333333,66.192
60e46e73e4c4216e7dcbe325,5,0.5,66.21000000000001,66.195
60e46e73e4c4216e7dcbe325,6,0.5,66.13666666666667,66.18666666666667
60e46e73e4c4216e7dcbe325,7,0.5,66.27,66.19708333333332
5f256074297aac1d8ef7382d,0,0.5,66.15333333333334,66.15333333333334
5f256074297aac1d8ef7382d,1,0.5,66.04666666666667,66.1
5f256074297aac1d8ef7382d,2,0.5,66.44666666666666,66.21555555555555
5f256074297aac1d8ef7382d,3,0.5,65.93666666666667,66.14583333333333
5f256074297aac1d8ef7382d,4,0.5,66.02333333333334,66.12133333333334
5f256074297aac1d8ef7382d,5,0.5,66.32666666666667,66.15555555555555
5f256074297aac1d8ef7382d,6,0.5,65.92,66.12190476190476
60f724fd8ec131e82a00b129,0,0.5,66.07333333333332,66.07333333333332
60f724fd8ec131e82a00b129,1,0.5,66.09333333333333,66.08333333333333
60f724fd8ec131e82a00b129,2,0.5,66.05333333333333,66.07333333333332
60f724fd8ec131e82a00b129,3,0.5,66.08666666666667,66.07666666666667
