participant_id,iteration,fs,accuracy
,0,0.5,66.59333333333333
5e909231933994023e8b3c4d,0,0.5,66.07333333333332
5e909231933994023e8b3c4d,1,0.5,66.31666666666666
5e909231933994023e8b3c4d,2,0.5,66.29
5e909231933994023e8b3c4d,3,0.5,66.46
5e909231933994023e8b3c4d,4,0.5,66.10666666666667
5e909231933994023e8b3c4d,5,0.5,66.31666666666666
5e909231933994023e8b3c4d,6,0.5,65.95333333333333
5e909231933994023e8b3c4d,7,0.5,66.21333333333334
5e909231933994023e8b3c4d,8,0.5,66.15666666666667
5e909231933994023e8b3c4d,9,0.5,66.09
5e909231933994023e8b3c4d,10,0.5,65.99000000000001
5e909231933994023e8b3c4d,11,0.5,65.74
5e909231933994023e8b3c4d,12,0.5,66.04333333333334
5e909231933994023e8b3c4d,13,0.5,65.75666666666666
5e909231933994023e8b3c4d,14,0.5,65.91
5e909231933994023e8b3c4d,15,0.5,65.9
5e909231933994023e8b3c4d,16,0.5,65.79333333333334
5e909231933994023e8b3c4d,17,0.5,66.06
5e909231933994023e8b3c4d,18,0.5,66.25333333333333
5e909231933994023e8b3c4d,19,0.5,65.98333333333333
5e909231933994023e8b3c4d,20,0.5,65.89
5e909231933994023e8b3c4d,21,0.5,65.74
5e909231933994023e8b3c4d,22,0.5,66.09
5e909231933994023e8b3c4d,23,0.5,66.14666666666666
5e909231933994023e8b3c4d,24,0.5,65.96666666666667
5e909231933994023e8b3c4d,25,0.5,65.69
5e909231933994023e8b3c4d,26,0.5,65.71000000000001
5e909231933994023e8b3c4d,27,0.5,65.93
5e909231933994023e8b3c4d,28,0.5,65.51333333333334
5fe100d9ece28c2fa6e9a5a1,0,0.5,66.21666666666667
5fe100d9ece28c2fa6e9a5a1,1,0.5,66.19666666666667
5fe100d9ece28c2fa6e9a5a1,2,0.5,66.24666666666667
60f5bcf96cd0848f008e3902,0,0.5,66.07333333333332
60f5bcf96cd0848f008e3902,1,0.5,66.20333333333333
60f5bcf96cd0848f008e3902,2,0.5,65.94666666666666
6120211d8e1eab16fcb7ad69,0,0.5,66.07333333333332
6120211d8e1eab16fcb7ad69,1,0.5,66.31666666666666
6120211d8e1eab16fcb7ad69,2,0.5,66.36999999999999
6120211d8e1eab16fcb7ad69,3,0.5,66.07666666666667
6120211d8e1eab16fcb7ad69,4,0.5,66.21333333333334
6120211d8e1eab16fcb7ad69,5,0.5,66.20666666666666
60e0e480c45d13e3fc1aae6b,0,0.5,66.07333333333332
60e0e480c45d13e3fc1aae6b,1,0.5,65.88000000000001
60e0e480c45d13e3fc1aae6b,2,0.5,66.07666666666667
60e0e480c45d13e3fc1aae6b,3,0.5,66.37333333333333
60e0e480c45d13e3fc1aae6b,4,0.5,66.24
60e0e480c45d13e3fc1aae6b,5,0.5,66.07666666666667
60e0e480c45d13e3fc1aae6b,6,0.5,66.39333333333333
60e0e480c45d13e3fc1aae6b,7,0.5,65.97
60e0e480c45d13e3fc1aae6b,8,0.5,65.68666666666667
