participant_id,iteration,fs,accuracy,CMA_accuracy
,0,0.5,66.59333333333333,
5e909231933994023e8b3c4d,0,0.5,66.15666666666667,66.15666666666667
5e909231933994023e8b3c4d,1,0.5,66.65333333333334,66.405
5e909231933994023e8b3c4d,2,0.5,66.17666666666666,66.3288888888889
5e909231933994023e8b3c4d,3,0.5,66.35,66.33416666666666
5e909231933994023e8b3c4d,4,0.5,66.35333333333332,66.338
5e909231933994023e8b3c4d,5,0.5,66.47,66.36
5e909231933994023e8b3c4d,6,0.5,65.97666666666666,66.3052380952381
5e909231933994023e8b3c4d,7,0.5,66.42,66.31958333333333
5e909231933994023e8b3c4d,8,0.5,66.15666666666667,66.30148148148149
5e909231933994023e8b3c4d,9,0.5,66.28666666666668,66.3
5e909231933994023e8b3c4d,10,0.5,65.87333333333333,66.26121212121213
5e909231933994023e8b3c4d,11,0.5,66.30333333333334,66.26472222222222
5e909231933994023e8b3c4d,12,0.5,66.0,66.24435897435897
5e909231933994023e8b3c4d,13,0.5,66.22,66.24261904761904
5e909231933994023e8b3c4d,14,0.5,65.67333333333333,66.20466666666667
5e909231933994023e8b3c4d,15,0.5,66.04333333333334,66.19458333333333
5e909231933994023e8b3c4d,16,0.5,65.82666666666667,66.17294117647059
5e909231933994023e8b3c4d,17,0.5,65.99333333333334,66.16296296296296
5e909231933994023e8b3c4d,18,0.5,66.28333333333333,66.16929824561403
5e909231933994023e8b3c4d,19,0.5,66.23666666666666,66.17266666666667
5e909231933994023e8b3c4d,20,0.5,66.14,66.1711111111111
5e909231933994023e8b3c4d,21,0.5,66.2,66.17242424242424
5e909231933994023e8b3c4d,22,0.5,66.30333333333334,66.17811594202898
5e909231933994023e8b3c4d,23,0.5,66.10666666666667,66.1751388888889
5e909231933994023e8b3c4d,24,0.5,66.3,66.18013333333333
5e909231933994023e8b3c4d,25,0.5,65.86666666666666,66.16807692307692
5e909231933994023e8b3c4d,26,0.5,66.21000000000001,66.16962962962963
5e909231933994023e8b3c4d,27,0.5,66.64666666666666,66.18666666666667
5e909231933994023e8b3c4d,28,0.5,66.33666666666667,66.19183908045977
5e909231933994023e8b3c4d,29,0.5,66.00333333333333,66.18555555555555
5e909231933994023e8b3c4d,30,0.5,66.28,66.18860215053763
5e909231933994023e8b3c4d,31,0.5,65.66666666666666,66.17229166666667
5e909231933994023e8b3c4d,32,0.5,65.88666666666667,66.16363636363637
5e909231933994023e8b3c4d,33,0.5,65.95666666666666,66.15754901960784
5e909231933994023e8b3c4d,34,0.5,65.61666666666667,66.14209523809524
5e909231933994023e8b3c4d,35,0.5,66.02,66.1387037037037
5e909231933994023e8b3c4d,36,0.5,66.06333333333333,66.13666666666667
5e909231933994023e8b3c4d,37,0.5,66.05,66.13438596491228
5e909231933994023e8b3c4d,38,0.5,65.68,66.12273504273504
5e909231933994023e8b3c4d,39,0.5,66.17333333333333,66.124
5e909231933994023e8b3c4d,40,0.5,65.91666666666667,66.11894308943089
5e909231933994023e8b3c4d,41,0.5,65.86,66.11277777777778
5e909231933994023e8b3c4d,42,0.5,66.16,66.11387596899225
5e909231933994023e8b3c4d,43,0.5,66.19333333333334,66.11568181818183
5e909231933994023e8b3c4d,44,0.5,66.02333333333334,66.11362962962963
5e909231933994023e8b3c4d,45,0.5,65.69666666666667,66.1045652173913
5e909231933994023e8b3c4d,46,0.5,65.67,66.09531914893617
5e909231933994023e8b3c4d,47,0.5,66.13,66.09604166666666
5e909231933994023e8b3c4d,48,0.5,65.71000000000001,66.08816326530612
5e909231933994023e8b3c4d,49,0.5,65.86999999999999,66.0838
5e909231933994023e8b3c4d,50,0.5,65.86666666666666,66.07954248366013
5e909231933994023e8b3c4d,51,0.5,65.63333333333333,66.07096153846155
5e909231933994023e8b3c4d,52,0.5,66.00333333333333,66.06968553459119
5e909231933994023e8b3c4d,53,0.5,65.85333333333332,66.06567901234568
5e909231933994023e8b3c4d,54,0.5,65.89666666666668,66.06260606060606
5e909231933994023e8b3c4d,55,0.5,65.97333333333333,66.0610119047619
5e909231933994023e8b3c4d,56,0.5,65.68666666666667,66.05444444444444
5e909231933994023e8b3c4d,57,0.5,66.10333333333334,66.05528735632184
5e909231933994023e8b3c4d,58,0.5,66.22666666666667,66.05819209039548
5e909231933994023e8b3c4d,59,0.5,66.03333333333333,66.05777777777777
5e909231933994023e8b3c4d,60,0.5,65.92666666666666,66.05562841530055
5e909231933994023e8b3c4d,61,0.5,65.93,66.05360215053763
5e909231933994023e8b3c4d,62,0.5,65.99666666666667,66.0526984126984
5e909231933994023e8b3c4d,63,0.5,65.89333333333333,66.05020833333333
5e909231933994023e8b3c4d,64,0.5,65.77333333333333,66.04594871794872
5e909231933994023e8b3c4d,65,0.5,66.05333333333333,66.0460606060606
5e909231933994023e8b3c4d,66,0.5,65.81666666666666,66.0426368159204
5e909231933994023e8b3c4d,67,0.5,66.04666666666667,66.04269607843138
5e909231933994023e8b3c4d,68,0.5,66.00333333333333,66.04212560386473
5e909231933994023e8b3c4d,69,0.5,65.92333333333333,66.04042857142856
5e909231933994023e8b3c4d,70,0.5,65.78,66.03676056338028
5e909231933994023e8b3c4d,71,0.5,66.01333333333334,66.03643518518518
5e909231933994023e8b3c4d,72,0.5,66.21000000000001,66.03881278538812
5e909231933994023e8b3c4d,73,0.5,66.01666666666667,66.03851351351352
5e909231933994023e8b3c4d,74,0.5,66.24,66.0412
5e909231933994023e8b3c4d,75,0.5,65.60000000000001,66.0353947368421
5e909231933994023e8b3c4d,76,0.5,66.14,66.03675324675325
5e909231933994023e8b3c4d,77,0.5,65.99000000000001,66.03615384615384
5e909231933994023e8b3c4d,78,0.5,65.59333333333333,66.03054852320675
5e909231933994023e8b3c4d,79,0.5,65.98,66.02991666666667
5e909231933994023e8b3c4d,80,0.5,66.07,66.03041152263374
5e909231933994023e8b3c4d,81,0.5,65.67666666666668,66.02609756097561
5e909231933994023e8b3c4d,82,0.5,65.68333333333334,66.02196787148596
5e909231933994023e8b3c4d,83,0.5,66.01666666666667,66.02190476190476
5e909231933994023e8b3c4d,84,0.5,65.84333333333333,66.01980392156862
5e909231933994023e8b3c4d,85,0.5,65.62666666666667,66.01523255813954
5e909231933994023e8b3c4d,86,0.5,66.00666666666667,66.01513409961686
5e909231933994023e8b3c4d,87,0.5,65.82666666666667,66.01299242424243
5e909231933994023e8b3c4d,88,0.5,65.90666666666667,66.01179775280899
5e909231933994023e8b3c4d,89,0.5,66.20333333333333,66.01392592592592
5e909231933994023e8b3c4d,90,0.5,65.96333333333332,66.01336996336997
5e909231933994023e8b3c4d,91,0.5,66.10333333333334,66.01434782608695
5e909231933994023e8b3c4d,92,0.5,66.06666666666666,66.01491039426523
5e909231933994023e8b3c4d,93,0.5,66.02666666666667,66.0150354609929
5fe100d9ece28c2fa6e9a5a1,0,0.5,66.26333333333334,66.26333333333334
5fe100d9ece28c2fa6e9a5a1,1,0.5,66.01,66.13666666666667
5fe100d9ece28c2fa6e9a5a1,2,0.5,66.3,66.19111111111111
5fe100d9ece28c2fa6e9a5a1,3,0.5,66.39666666666668,66.2425
5fe100d9ece28c2fa6e9a5a1,4,0.5,66.26333333333334,66.24666666666667
5fe100d9ece28c2fa6e9a5a1,5,0.5,65.91,66.19055555555555
5fe100d9ece28c2fa6e9a5a1,6,0.5,66.37333333333333,66.21666666666667
5fe100d9ece28c2fa6e9a5a1,7,0.5,66.22666666666667,66.21791666666667
5fe100d9ece28c2fa6e9a5a1,8,0.5,66.14,66.20925925925926
5fe100d9ece28c2fa6e9a5a1,9,0.5,65.96666666666667,66.185
5fe100d9ece28c2fa6e9a5a1,10,0.5,66.10000000000001,66.17727272727274
5fe100d9ece28c2fa6e9a5a1,11,0.5,66.40666666666667,66.19638888888889
5fe100d9ece28c2fa6e9a5a1,12,0.5,66.14,66.19205128205128
5fe100d9ece28c2fa6e9a5a1,13,0.5,66.10000000000001,66.1854761904762
5fe100d9ece28c2fa6e9a5a1,14,0.5,66.26666666666667,66.19088888888889
