participant_id,iteration,fs,consistency_10,consistency_100,theil_index,CMA_consistency_10,CMA_consistency_100,CMA_theil_index
,0,0.5,0.5877166666666667,0.5315716666666667,0.3006209622009327,,,
5c48be0496d59b000183e68d,1,0.5,0.5853333333333333,0.5289563333333334,0.3068730865170256,0.5853333333333333,0.5289563333333334,0.3068730865170256
5c48be0496d59b000183e68d,2,0.5,0.5866899999999999,0.5302613333333334,0.303378058840539,0.5860116666666666,0.5296088333333333,0.30512557267878226
5c48be0496d59b000183e68d,3,0.5,0.58809,0.5310643333333334,0.3046742293262608,0.5867044444444444,0.5300940000000001,0.3049751248946085
5c48be0496d59b000183e68d,4,0.5,0.5871266666666666,0.529463,0.3066584139022909,0.5868099999999999,0.52993625,0.30539594714652907
5c48be0496d59b000183e68d,5,0.5,0.5861366666666668,0.5301473333333333,0.3057636098636234,0.5866753333333333,0.5299784666666667,0.3054694796899479
5c83f171fff8430001e997b4,1,0.5,0.5842933333333333,0.5286863333333334,0.3076810223094537,0.5842933333333333,0.5286863333333334,0.3076810223094537
5c83f171fff8430001e997b4,2,0.5,0.5858633333333334,0.5285503333333332,0.3074278860311621,0.5850783333333334,0.5286183333333333,0.3075544541703079
5c83f171fff8430001e997b4,3,0.5,0.5852733333333333,0.528516,0.308436994506777,0.5851433333333333,0.5285842222222222,0.3078486342824643
5c83f171fff8430001e997b4,4,0.5,0.5858366666666667,0.5301400000000001,0.305284972151187,0.5853166666666667,0.5289731666666666,0.3072077187496449
5c83f171fff8430001e997b4,5,0.5,0.5856233333333334,0.5305506666666666,0.3051031334400183,0.5853780000000001,0.5292886666666666,0.30678680168771966
5c83f171fff8430001e997b4,6,0.5,0.5858933333333334,0.530193,0.3079074535160853,0.5854638888888889,0.5294393888888889,0.30697357699244726
5c83f171fff8430001e997b4,7,0.5,0.5874433333333333,0.529477,0.306858585416782,0.5857466666666667,0.5294447619047619,0.30695714962449505
5c83f171fff8430001e997b4,8,0.5,0.5867933333333333,0.531507,0.3027216023598324,0.5858775,0.5297025416666666,0.30642770621641224
5c83f171fff8430001e997b4,9,0.5,0.5872133333333334,0.529782,0.3073200232297705,0.586025925925926,0.5297113703703703,0.3065268525512298
5c83f171fff8430001e997b4,10,0.5,0.5866766666666666,0.5294333333333333,0.3086610359605579,0.586091,0.5296835666666666,0.3067402708921626
5c83f171fff8430001e997b4,11,0.5,0.5881033333333334,0.531393,0.3044755190798345,0.5862739393939393,0.5298389696969696,0.3065343843637691
5c83f171fff8430001e997b4,12,0.5,0.5852633333333334,0.5299693333333333,0.305391336087284,0.5861897222222222,0.5298498333333334,0.3064391303407287
5d1f440b3aac9200019067f1,1,0.5,0.5875966666666667,0.529666,0.3067520365106275,0.5875966666666667,0.529666,0.3067520365106275
5d1f440b3aac9200019067f1,2,0.5,0.58618,0.5289513333333333,0.3068767586415089,0.5868883333333333,0.5293086666666666,0.3068143975760682
5d1f440b3aac9200019067f1,3,0.5,0.5880066666666666,0.5292746666666666,0.3075709036631879,0.5872611111111111,0.5292973333333333,0.30706656627177475
5d1f440b3aac9200019067f1,4,0.5,0.5852833333333334,0.5280186666666666,0.3104518154212214,0.5867666666666667,0.5289776666666666,0.3079128785591364
